session_id,label,weak_label,risk_score,label_reason,language,task,task_status,final_score,event_count,duration_sec,paste_action_count,paste_event_count,pasted_chars,inserted_chars,max_insert_chars,source_file
tasktracker_java_brackets_brackets_50952_1381656317_16469640206.523684_92a7d3568ab93bcb57ccf34a5cdc36bc850252e6,1,1,2.0,explicit paste action,java,brackets,NOT_SOLVED,0.0208,436,1854.766,1,3,50,1005,45,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\brackets\brackets_50952_1381656317_16469640206.523684_92a7d3568ab93bcb57ccf34a5cdc36bc850252e6.csv
tasktracker_java_brackets_brackets_516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba,0,0,0.25,low-risk trace,java,brackets,SOLVED,0.1875,570,485.487,0,0,0,1142,21,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\brackets\brackets_516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba.csv
tasktracker_java_brackets_brackets_53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7,1,1,4.75,explicit paste action; large code insertion; large pasted/inferred-paste volume,java,brackets,SOLVED,0.25,813,917.748,4,29,466,1737,295,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\brackets\brackets_53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7.csv
tasktracker_java_max_3_max_3_204023_668020847_516895086072.12787_9ac1f193df7581cc6d68bc07eaa01710f5acf6e4,0,0,0.0,low-risk trace,java,max_3,,-1.0,308,1134.757,0,1,68,978,68,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_204023_668020847_516895086072.12787_9ac1f193df7581cc6d68bc07eaa01710f5acf6e4.csv
tasktracker_java_max_3_max_3_204060_1403686852_452957577733.4277_ca949b775e8bfc31f714dcba1671cd258a28f6ca,0,0,1.0,large pasted/inferred-paste volume,java,max_3,,0.1042,279,741.876,0,6,516,1221,86,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_204060_1403686852_452957577733.4277_ca949b775e8bfc31f714dcba1671cd258a28f6ca.csv
tasktracker_java_max_3_max_3_35359_668337716_700492825690.7686_7afd44537ebff4868a2797df29e090d01d6c77f6,0,0,0.25,low-risk trace,java,max_3,SOLVED,0.2708,239,500.947,0,0,0,631,25,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_35359_668337716_700492825690.7686_7afd44537ebff4868a2797df29e090d01d6c77f6.csv
tasktracker_java_max_3_max_3_35912_1100763038_598559937468.288_3f848c12f0d0f9abcded2bd9a89f972559874307,0,0,0.25,low-risk trace,java,max_3,SOLVED,0.2708,170,293.209,0,0,0,528,32,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_35912_1100763038_598559937468.288_3f848c12f0d0f9abcded2bd9a89f972559874307.csv
tasktracker_java_max_3_max_3_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,0,0,0.25,low-risk trace,java,max_3,SOLVED,0.2708,171,180.374,0,0,0,292,13,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40.csv
tasktracker_java_max_3_max_3_46086_1109732621_1202658003874.5593_ca1fd0395e652920b1735544eeb8630bcbe43625,0,0,1.5,large code insertion,java,max_3,,0.2708,23,138.443,0,1,153,215,153,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_46086_1109732621_1202658003874.5593_ca1fd0395e652920b1735544eeb8630bcbe43625.csv
tasktracker_java_max_3_max_3_50193_925889727_1276106696243.2937_1c8d6035ba50e7db64c956e534f9b00520436e82,0,0,0.25,low-risk trace,java,max_3,SOLVED,0.2708,491,2100.427,0,0,0,1037,16,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_50193_925889727_1276106696243.2937_1c8d6035ba50e7db64c956e534f9b00520436e82.csv
tasktracker_java_max_3_max_3_50236_25853174_1277715059093.8948_886dfb0cdc30a6f7ef494e4f0a7acc925d3ce1dc,1,1,2.75,large code insertion; large pasted/inferred-paste volume,java,max_3,SOLVED,0.2708,185,649.437,0,2,353,930,283,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_50236_25853174_1277715059093.8948_886dfb0cdc30a6f7ef494e4f0a7acc925d3ce1dc.csv
tasktracker_java_max_3_max_3_50236_357787407_1429767635995.9395_d5f5d101e93288426793cab0366b57fca7e2e9c8,0,0,1.0,large pasted/inferred-paste volume,java,max_3,,0.2083,440,1186.996,0,4,359,1364,119,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_50236_357787407_1429767635995.9395_d5f5d101e93288426793cab0366b57fca7e2e9c8.csv
tasktracker_java_max_3_max_3_50240_857233176_843487176380.1454_e07e707f8cc523c1b5db8a7c8db58a7e58891212,1,1,2.75,large code insertion; large pasted/inferred-paste volume,java,max_3,SOLVED,0.2708,784,974.274,0,3,475,1510,183,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_50240_857233176_843487176380.1454_e07e707f8cc523c1b5db8a7c8db58a7e58891212.csv
tasktracker_java_max_3_max_3_50245_20002811_750838435890.7542_463f1342508be0c8c3bef7dc4bb96b162edb6147,0,0,1.0,large pasted/inferred-paste volume,java,max_3,,0.2708,192,4096.27,0,4,336,761,93,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_50245_20002811_750838435890.7542_463f1342508be0c8c3bef7dc4bb96b162edb6147.csv
tasktracker_java_max_3_max_3_50254_213335595_1506562519119.1558_92207ad2e5d3fd87a23bfe292d58026dd5f46040,0,0,1.5,large code insertion,java,max_3,NOT_SOLVED,0.2708,801,1009.328,0,1,201,1828,201,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_50254_213335595_1506562519119.1558_92207ad2e5d3fd87a23bfe292d58026dd5f46040.csv
tasktracker_java_max_3_max_3_50727_1749342367_1256896303556.269_1cfc1d2bf71946e0917638983a2f1f205a12b112,0,0,0.25,low-risk trace,java,max_3,SOLVED,0.2708,127,93.735,0,0,0,290,21,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_50727_1749342367_1256896303556.269_1cfc1d2bf71946e0917638983a2f1f205a12b112.csv
tasktracker_java_max_3_max_3_50756_6770863_906931782053.1805_c37b945244324fa33391ce6581f9689bba575ee6,1,1,3.0,explicit paste action; large pasted/inferred-paste volume,java,max_3,,-1.0,184,373.548,6,22,339,662,51,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_50756_6770863_906931782053.1805_c37b945244324fa33391ce6581f9689bba575ee6.csv
tasktracker_java_max_3_max_3_50835_697721268_610221703032.3408_47c9336e4957bb8c138f480cb62c183251fe298b,0,0,0.0,low-risk trace,java,max_3,,0.2708,81,189.923,0,0,0,70,7,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_50835_697721268_610221703032.3408_47c9336e4957bb8c138f480cb62c183251fe298b.csv
tasktracker_java_max_3_max_3_51362_785676883_11698347327.775366_1d72cbf4974d2abb7d8dba30e213c39a695dced1,0,0,0.25,low-risk trace,java,max_3,SOLVED,0.2708,226,173.773,0,1,47,519,47,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_51362_785676883_11698347327.775366_1d72cbf4974d2abb7d8dba30e213c39a695dced1.csv
tasktracker_java_max_3_max_3_516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba,0,0,0.25,low-risk trace,java,max_3,SOLVED,0.2708,135,72.145,0,0,0,383,21,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba.csv
tasktracker_java_max_3_max_3_53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7,0,0,0.25,low-risk trace,java,max_3,SOLVED,0.2708,51,39.687,0,0,0,94,7,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7.csv
tasktracker_java_max_3_max_3_57067_1261491634_1303314701575.888_3d56ea1064305d2147d63f7a4943bcb8de5510a8,0,0,0.25,low-risk trace,java,max_3,SOLVED,0.2708,207,886.24,0,0,0,556,25,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_57067_1261491634_1303314701575.888_3d56ea1064305d2147d63f7a4943bcb8de5510a8.csv
tasktracker_java_max_3_max_3_57325_1535057055_608548865299.2836_e249c65736d6d7589adfb3ec80b380823349c2a4,0,0,0.0,low-risk trace,java,max_3,,0.2708,224,364.361,0,0,0,282,8,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_57325_1535057055_608548865299.2836_e249c65736d6d7589adfb3ec80b380823349c2a4.csv
tasktracker_java_max_3_max_3_57490_330720948_1298527170716.4583_3128870c90ce1bb6fac7851789f7507b0bd3c717,0,0,1.75,large code insertion,java,max_3,SOLVED,0.2708,357,1025.253,0,1,143,990,143,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_57490_330720948_1298527170716.4583_3128870c90ce1bb6fac7851789f7507b0bd3c717.csv
tasktracker_java_max_3_max_3_57554_2050432010_817838918198.6484_a0653e7cd540e6e8e9cfb3c01d28f9705abe9901,0,0,0.25,low-risk trace,java,max_3,SOLVED,0.2708,269,672.955,0,0,0,644,35,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_57554_2050432010_817838918198.6484_a0653e7cd540e6e8e9cfb3c01d28f9705abe9901.csv
tasktracker_java_max_3_max_3_57763_274982267_329582703167.56854_e2d08267215382b9dc4478669b7c47850e13c63d,1,1,2.75,large code insertion; large pasted/inferred-paste volume,java,max_3,SOLVED,0.0,287,1523.966,0,2,389,903,348,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_57763_274982267_329582703167.56854_e2d08267215382b9dc4478669b7c47850e13c63d.csv
tasktracker_java_max_3_max_3_57789_819206578_644461315473.2961_d5608873680c0af72b92960dfe0af2a77bc55694,0,0,1.25,large pasted/inferred-paste volume,java,max_3,SOLVED,0.2708,1009,950.196,0,7,418,2163,67,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_3\max_3_57789_819206578_644461315473.2961_d5608873680c0af72b92960dfe0af2a77bc55694.csv
tasktracker_java_max_digit_max_digit_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,0,0,0.25,low-risk trace,java,max_digit,SOLVED,0.0,215,320.107,0,0,0,399,13,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_digit\max_digit_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40.csv
tasktracker_java_max_digit_max_digit_50257_1709204793_108459306453.05919_2247f558c83bf63053b1624a2659fc4e4d4558a2,0,0,0.0,low-risk trace,java,max_digit,NOT_SOLVED,0.0417,802,1167.073,0,0,0,1201,21,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_digit\max_digit_50257_1709204793_108459306453.05919_2247f558c83bf63053b1624a2659fc4e4d4558a2.csv
tasktracker_java_max_digit_max_digit_50727_1749342367_1256896303556.269_1cfc1d2bf71946e0917638983a2f1f205a12b112,0,0,0.25,low-risk trace,java,max_digit,SOLVED,0.2917,185,380.954,0,0,0,419,21,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_digit\max_digit_50727_1749342367_1256896303556.269_1cfc1d2bf71946e0917638983a2f1f205a12b112.csv
tasktracker_java_max_digit_max_digit_516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba,0,0,0.25,low-risk trace,java,max_digit,SOLVED,0.2917,232,143.683,0,0,0,543,21,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_digit\max_digit_516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba.csv
tasktracker_java_max_digit_max_digit_51842_783082061_1448226214940.27_0aef4b4458c79d9d8e7a8d6918a3e7fbde0853fa,0,0,0.25,low-risk trace,java,max_digit,SOLVED,0.1875,346,292.493,0,1,45,804,45,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_digit\max_digit_51842_783082061_1448226214940.27_0aef4b4458c79d9d8e7a8d6918a3e7fbde0853fa.csv
tasktracker_java_max_digit_max_digit_53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7,0,0,0.25,low-risk trace,java,max_digit,SOLVED,0.25,452,255.532,0,0,0,705,17,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\max_digit\max_digit_53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7.csv
tasktracker_java_pies_pies_1105_1557047966_1080013613426.9247_77ca8e1a54b7fdc837185e46ba6c2d6d5b1eb65b,1,1,2.75,large code insertion; large pasted/inferred-paste volume,java,pies,SOLVED,0.0,209,497.396,0,3,449,1018,224,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_1105_1557047966_1080013613426.9247_77ca8e1a54b7fdc837185e46ba6c2d6d5b1eb65b.csv
tasktracker_java_pies_pies_204023_1295672917_582321549345.9686_885c9af3bc45c5b668f90b9226498d251192f5b0,0,0,0.25,low-risk trace,java,pies,SOLVED,0.0,203,1700.845,0,0,0,493,28,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_204023_1295672917_582321549345.9686_885c9af3bc45c5b668f90b9226498d251192f5b0.csv
tasktracker_java_pies_pies_204023_668020847_516895086072.12787_9ac1f193df7581cc6d68bc07eaa01710f5acf6e4,1,1,2.75,large code insertion; large pasted/inferred-paste volume,java,pies,SOLVED,0.1667,157,1171.461,0,3,514,808,240,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_204023_668020847_516895086072.12787_9ac1f193df7581cc6d68bc07eaa01710f5acf6e4.csv
tasktracker_java_pies_pies_35370_1665555948_1492937153489.6443_4080d6cd752988831293a3577e60f32cc3abbb21,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,186,491.286,0,0,0,496,25,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_35370_1665555948_1492937153489.6443_4080d6cd752988831293a3577e60f32cc3abbb21.csv
tasktracker_java_pies_pies_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,258,397303.941,0,0,0,513,25,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40.csv
tasktracker_java_pies_pies_50193_925889727_1276106696243.2937_1c8d6035ba50e7db64c956e534f9b00520436e82,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,242,626.856,0,0,0,410,25,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_50193_925889727_1276106696243.2937_1c8d6035ba50e7db64c956e534f9b00520436e82.csv
tasktracker_java_pies_pies_50200_1421378627_1179200758740.3208_fb53c43283c02986a479301ab34083fad2030fe2,0,0,0.25,low-risk trace,java,pies,SOLVED,0.0208,250,831.462,0,0,0,477,32,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_50200_1421378627_1179200758740.3208_fb53c43283c02986a479301ab34083fad2030fe2.csv
tasktracker_java_pies_pies_50201_922288987_342642750164.68304_a022a4088bb525bd7b511483d514a1023f39e15c,1,1,2.5,large code insertion; large pasted/inferred-paste volume,java,pies,NOT_SOLVED,0.1667,267,4305.72,0,1,562,1085,562,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_50201_922288987_342642750164.68304_a022a4088bb525bd7b511483d514a1023f39e15c.csv
tasktracker_java_pies_pies_50236_25853174_1277715059093.8948_886dfb0cdc30a6f7ef494e4f0a7acc925d3ce1dc,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,193,1310.05,0,0,0,464,41,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_50236_25853174_1277715059093.8948_886dfb0cdc30a6f7ef494e4f0a7acc925d3ce1dc.csv
tasktracker_java_pies_pies_50240_1600961792_329781335745.4937_cb033bbe50ab86115e134a01d28048377ff1bf47,0,0,0.0,low-risk trace,java,pies,,0.0,367,1051.302,0,0,0,859,43,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_50240_1600961792_329781335745.4937_cb033bbe50ab86115e134a01d28048377ff1bf47.csv
tasktracker_java_pies_pies_50240_857233176_843487176380.1454_e07e707f8cc523c1b5db8a7c8db58a7e58891212,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,236,469.678,0,0,0,502,32,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_50240_857233176_843487176380.1454_e07e707f8cc523c1b5db8a7c8db58a7e58891212.csv
tasktracker_java_pies_pies_50250_1544338911_1199532539136.588_d63c638bc06575f2d00f972b57b3fe0996e8ea14,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,375,464.009,0,0,0,585,13,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_50250_1544338911_1199532539136.588_d63c638bc06575f2d00f972b57b3fe0996e8ea14.csv
tasktracker_java_pies_pies_50727_1749342367_1256896303556.269_1cfc1d2bf71946e0917638983a2f1f205a12b112,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,237,361.394,0,1,45,475,45,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_50727_1749342367_1256896303556.269_1cfc1d2bf71946e0917638983a2f1f205a12b112.csv
tasktracker_java_pies_pies_50751_6734527_1138798489862.933_0687500a3943a24ebd92b0e6e8569b6a8ca182d0,1,1,4.75,explicit paste action; large code insertion; large pasted/inferred-paste volume,java,pies,SOLVED,0.0,211,486.113,4,25,418,696,154,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_50751_6734527_1138798489862.933_0687500a3943a24ebd92b0e6e8569b6a8ca182d0.csv
tasktracker_java_pies_pies_50835_697721268_610221703032.3408_47c9336e4957bb8c138f480cb62c183251fe298b,1,1,2.75,large code insertion; large pasted/inferred-paste volume,java,pies,SOLVED,0.1667,335,338.592,0,1,497,940,497,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_50835_697721268_610221703032.3408_47c9336e4957bb8c138f480cb62c183251fe298b.csv
tasktracker_java_pies_pies_51403_1771290213_1211670296785.9038_8e46c693a543f911ad9d0ab494890245c381122d,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,1151,1939.991,0,1,45,1332,45,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_51403_1771290213_1211670296785.9038_8e46c693a543f911ad9d0ab494890245c381122d.csv
tasktracker_java_pies_pies_516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,345,682.44,0,0,0,636,29,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_516498_1178551944_162670384992.19626_8c04d89c38707f39de13634e244a71c022ca98ba.csv
tasktracker_java_pies_pies_53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,199,166.801,0,0,0,424,9,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_53285_1705533775_1292233787305.176_fec8c81f154d4a436ee9d893aa383c57e89745f7.csv
tasktracker_java_pies_pies_57325_1535057055_608548865299.2836_e249c65736d6d7589adfb3ec80b380823349c2a4,0,0,0.0,low-risk trace,java,pies,,0.0,250,673.974,0,0,0,368,25,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_57325_1535057055_608548865299.2836_e249c65736d6d7589adfb3ec80b380823349c2a4.csv
tasktracker_java_pies_pies_57396_464732690_695243884347.0798_7e87fdac8a3bc68710f4df0f81f2892634711e17,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,295,907.903,0,0,0,617,25,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_57396_464732690_695243884347.0798_7e87fdac8a3bc68710f4df0f81f2892634711e17.csv
tasktracker_java_pies_pies_57464_413522614_127026826552.83893_cf4a4227cf3e1d7abc3b1ea938a59d00d72ab41a,0,0,0.25,low-risk trace,java,pies,SOLVED,0.0,352,1186.652,0,0,0,877,45,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_57464_413522614_127026826552.83893_cf4a4227cf3e1d7abc3b1ea938a59d00d72ab41a.csv
tasktracker_java_pies_pies_57541_910902850_845540390441.934_2fcf35aec0f72a0f290cc726958ee3f89b2b84a2,0,0,0.25,low-risk trace,java,pies,SOLVED,0.0,146,1416.413,0,0,0,397,39,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_57541_910902850_845540390441.934_2fcf35aec0f72a0f290cc726958ee3f89b2b84a2.csv
tasktracker_java_pies_pies_57721_84510250_1047720102990.9707_98ec8ee94d99c8248d13f066badb20546542b9d0,0,0,0.25,low-risk trace,java,pies,SOLVED,0.1667,389,647.324,0,5,229,972,55,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\pies\pies_57721_84510250_1047720102990.9707_98ec8ee94d99c8248d13f066badb20546542b9d0.csv
tasktracker_java_voting_voting_204023_668020847_516895086072.12787_9ac1f193df7581cc6d68bc07eaa01710f5acf6e4,0,0,0.25,low-risk trace,java,voting,SOLVED,-1.0,139,864.391,0,1,41,433,41,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\voting\voting_204023_668020847_516895086072.12787_9ac1f193df7581cc6d68bc07eaa01710f5acf6e4.csv
tasktracker_java_voting_voting_35348_1438997025_120066998105.26987_bad7f68a7e0bdbb50783d610478f97ab3a55810b,0,0,0.25,low-risk trace,java,voting,SOLVED,0.1667,252,795.494,0,0,0,617,25,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\voting\voting_35348_1438997025_120066998105.26987_bad7f68a7e0bdbb50783d610478f97ab3a55810b.csv
